Ref,Val,Package,PosX,PosY,Rot,Side
"C5","100nF","C_0805_2012Metric",121.280000,-78.600000,180.000000,bottom
"C7","100nF","C_0805_2012Metric",152.400000,-83.700000,0.000000,bottom
"C10","470pF","C_0805_2012Metric",173.500000,-100.162501,90.000000,bottom
"C13","470pF","C_0805_2012Metric",184.000000,-100.049999,90.000000,bottom
"C15","100nF","C_0805_2012Metric",137.825000,-102.690000,180.000000,bottom
"C16","100nF","C_0805_2012Metric",137.825000,-87.310000,180.000000,bottom
"C17","470pF","C_0805_2012Metric",160.200000,-100.100000,90.000000,bottom
"C18","470pF","C_0805_2012Metric",170.400000,-100.100000,90.000000,bottom
"R2","22k","R_0805_2012Metric",178.687500,-100.900000,0.000000,bottom
"R12","10","R_0805_2012Metric",184.000000,-83.700000,90.000000,bottom
"R13","10","R_0805_2012Metric",184.060000,-91.300000,90.000000,bottom
"R17","22k","R_0805_2012Metric",165.187500,-100.900000,0.000000,bottom
