"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Jack_3.5mm_CUI_SJ1-3525N_Horizontal";1;"Line Out";;;
2;"VREG1";"TO-92";1;"78L05";;;
3;"C9,C8";"C_0805_2012Metric";2;"22pF";;;
4;"R8,R5,R6,R7";"R_0805_2012Metric";4;"2.2k";;;
5;"IC1";"DIP-18_W7.62mm_LongPads";1;"YM2413";;;
6;"IC4,IC5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM4558N";;;
7;"C12,C11";"CP_Radial_D5.0mm_P2.00mm";2;"47uF 16v";;;
8;"C1,C2";"C_1210_3225Metric";2;"1uF 25v";;;
9;"R19,R4";"R_0805_2012Metric";2;"4.7k";;;
10;"R16,R3,R1,R18";"R_0805_2012Metric";4;"170k";;;
11;"R11";"R_0805_2012Metric";1;"68";;;
12;"C3,C14,C19,C4";"C_1210_3225Metric";4;"2.2uF25v";;;
13;"IC2";"SO-14_3.9x8.65mm_P1.27mm";1;"74LS30D";;;
14;"R9,R10,R17,R2";"R_0805_2012Metric";4;"22k";;;
15;"C6";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V";;;
16;"IC6";"DIP-28_W15.24mm";1;"27C512";;;
17;"IC3";"SO-14_3.9x8.65mm_P1.27mm";1;"74LS04D";;;
18;"BUS_Expansion1";"DaewooBackSlotConnector";1;"my_components_MSX_SLOT_HOST";;;
19;"C10,C13,C17,C18";"C_0805_2012Metric";4;"470pF";;;
20;"R12,R13";"R_0805_2012Metric";2;"10";;;
21;"C15,C5,C7,C16";"C_0805_2012Metric";4;"100nF";;;
22;"R14,R15";"R_0805_2012Metric";2;"1k";;;
