Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",133.107566,-72.350000,180.000000,bottom
"C2","100nF","C_0805_2012Metric",151.307566,-72.350000,180.000000,bottom
"C3","100nF","C_0805_2012Metric",169.507566,-72.350000,180.000000,bottom
"C4","100nF","C_0805_2012Metric",187.707566,-72.350000,180.000000,bottom
"C6","100nF","C_0805_2012Metric",158.957566,-108.600000,180.000000,bottom
"C7","100nF","C_0805_2012Metric",174.207566,-121.550000,0.000000,bottom
"C8","100nF","C_0805_2012Metric",186.457566,-121.550000,180.000000,bottom
"C9","100nF","C_0805_2012Metric",153.607566,-108.600000,0.000000,bottom
"R1","1k","R_0805_2012Metric",143.357566,-126.062500,90.000000,bottom
"R2","10k","R_0805_2012Metric",143.357566,-122.300000,90.000000,bottom
