Ref,Val,Package,PosX,PosY,Rot,Side
"BUS1","my_components_MSX_SLOT_HOST","DaewooBackSlotConnector",112.887566,-96.345600,0.000000,top
"C5","100uF 16V","CP_Radial_D5.0mm_P2.50mm",120.100000,-71.400000,180.000000,top
"C10","100uF 16V","CP_Radial_D5.0mm_P2.00mm",171.200001,-125.600000,180.000000,top
"D1","1N4148W","D_SOD-123",187.250000,-125.700000,180.000000,top
"J1","AVR-JTAG-10","IDC-Header_2x05_P2.54mm_Vertical",151.177566,-126.840000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",180.357566,-124.949999,90.000000,top
"U2","EPM240T100","LQFP-100_14x14mm_P0.5mm",156.257566,-108.600000,0.000000,top
"U3","AS6C4008-55PCN","SOP-32_11.305x20.495mm_P1.27mm",183.507566,-84.450000,0.000000,top
"U4","AS6C4008-55PCN","SOP-32_11.305x20.495mm_P1.27mm",165.307566,-84.450000,0.000000,top
"U5","AS6C4008-55PCN","SOP-32_11.305x20.495mm_P1.27mm",147.107566,-84.450000,0.000000,top
"U6","AS6C4008-55PCN","SOP-32_11.305x20.495mm_P1.27mm",128.907566,-84.450000,0.000000,top
