"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"100uF 16V";;;
2;"D1";"D_SOD-123";1;"1N4148W";;;
3;"U5,U4,U3,U6";"SOP-32_11.305x20.495mm_P1.27mm";4;"AS6C4008-55PCN";;;
4;"U2";"LQFP-100_14x14mm_P0.5mm";1;"EPM240T100";;;
5;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
6;"C10";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V";;;
7;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"AVR-JTAG-10";;;
8;"BUS1";"DaewooBackSlotConnector";1;"my_components_MSX_SLOT_HOST";;;
9;"C7,C2,C8,C4,C9,C3,C1,C6";"C_0805_2012Metric";8;"100nF";;;
10;"R2";"R_0805_2012Metric";1;"10k";;;
11;"R1";"R_0805_2012Metric";1;"1k";;;
