"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_SOD-123";1;"1N4148W";;;
2;"C6,C7";"CP_Radial_D5.0mm_P2.00mm";2;"100uF 16V";;;
3;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
4;"U3";"DIP-28_W15.24mm";1;"27C512";;;
5;"BUS_Expansion2,BUS_Expansion3";"PinHeader_2x25_P2.54mm_Vertical";2;"my_components_MSX_SLOT_HOST";;;
6;"BUS_Expansion1";"DaewooBackSlotConnector";1;"my_components_MSX_SLOT_HOST";;;
7;"U1";"LQFP-100_14x14mm_P0.5mm";1;"EPM240T100";;;
8;"C2,C5,C1,C3,C4";"C_0805_2012Metric";5;"100nF";;;
9;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"AVR-JTAG-10";;;
10;"R2";"R_0805_2012Metric";1;"10k";;;
11;"R1,R3";"R_0805_2012Metric";2;"1k";;;
